iter	Passed	Remaining
0	140	140126
1	166	83177
2	195	64860
3	228	56856
4	255	50827
5	284	47099
6	315	44750
7	342	42472
8	364	40185
9	385	38182
10	414	37231
11	442	36422
12	471	35828
13	498	35082
14	526	34603
15	557	34313
16	582	33691
17	611	33372
18	638	32989
19	667	32717
20	703	32775
21	732	32575
22	761	32338
23	786	31989
24	820	31988
25	894	33508
26	1003	36158
27	1025	35589
28	1054	35307
29	1078	34872
30	1101	34420
31	1122	33959
32	1146	33586
33	1168	33186
34	1190	32824
35	1212	32458
36	1236	32175
37	1258	31863
38	1279	31538
39	1307	31374
40	1330	31112
41	1353	30869
42	1379	30708
43	1408	30600
44	1435	30459
45	1459	30277
46	1482	30054
47	1508	29921
48	1531	29723
49	1557	29586
50	1583	29459
51	1611	29377
52	1635	29220
53	1663	29149
54	1688	29016
55	1711	28846
56	1733	28680
57	1765	28680
58	1793	28601
59	1819	28511
60	1839	28310
61	1861	28156
62	1882	27996
63	1901	27805
64	1920	27626
65	1940	27457
66	1960	27303
67	1988	27259
68	2011	27146
69	2036	27052
70	2057	26920
71	2086	26894
72	2109	26782
73	2131	26677
74	2157	26615
75	2180	26514
76	2206	26447
77	2229	26349
78	2251	26253
79	2270	26105
80	2286	25946
81	2302	25780
82	2324	25676
83	2341	25537
84	2358	25390
85	2375	25243
86	2391	25102
87	2409	24967
88	2425	24826
89	2442	24698
90	2459	24563
91	2476	24438
92	2493	24315
93	2509	24187
94	2525	24058
95	2567	24177
96	2602	24225
97	2627	24181
98	2649	24116
99	2675	24078
100	2698	24022
101	2746	24177
102	2769	24121
103	2795	24085
104	2823	24069
105	2846	24007
106	2872	23974
107	2897	23932
108	2921	23880
109	2946	23842
110	2969	23784
111	2998	23770
112	3029	23778
113	3056	23755
114	3079	23698
115	3100	23628
116	3124	23577
117	3146	23517
118	3167	23450
119	3189	23392
120	3211	23327
121	3238	23306
122	3264	23277
123	3287	23223
124	3311	23181
125	3334	23127
126	3360	23100
127	3383	23048
128	3409	23021
129	3440	23021
130	3470	23023
131	3493	22973
132	3514	22909
133	3543	22900
134	3569	22873
135	3592	22825
136	3613	22764
137	3636	22715
138	3663	22693
139	3691	22677
140	3718	22655
141	3743	22618
142	3768	22587
143	3795	22562
144	3821	22532
145	3842	22477
146	3864	22424
147	3891	22401
148	3919	22385
149	3945	22356
150	3970	22325
151	3995	22290
152	4017	22239
153	4039	22193
154	4061	22140
155	4082	22089
156	4105	22042
157	4128	22001
158	4156	21986
159	4185	21976
160	4214	21962
161	4239	21928
162	4266	21906
163	4289	21866
164	4315	21838
165	4338	21798
166	4365	21772
167	4387	21730
168	4414	21705
169	4437	21663
170	4460	21623
171	4546	21886
172	4574	21867
173	4606	21866
174	4637	21863
175	4668	21855
176	4691	21813
177	4714	21771
178	4735	21719
179	4760	21686
180	4783	21645
181	4810	21619
182	4831	21570
183	4853	21523
184	4875	21479
185	4897	21432
186	4934	21454
187	4982	21519
188	5012	21506
189	5045	21510
190	5073	21490
191	5097	21450
192	5122	21420
193	5146	21381
194	5171	21347
195	5196	21315
196	5220	21278
197	5245	21247
198	5271	21219
199	5296	21186
200	5318	21143
201	5349	21132
202	5374	21102
203	5397	21062
204	5428	21051
205	5462	21055
206	5493	21043
207	5519	21017
208	5544	20982
209	5570	20956
210	5595	20922
211	5619	20887
212	5644	20854
213	5663	20802
214	5682	20749
215	5709	20722
216	5735	20695
217	5752	20634
218	5775	20598
219	5797	20553
220	5821	20521
221	5849	20499
222	5874	20470
223	5897	20430
224	5920	20391
225	5945	20361
226	5972	20337
227	5996	20303
228	6022	20276
229	6046	20241
230	6069	20203
231	6095	20178
232	6124	20160
233	6158	20159
234	6182	20125
235	6208	20098
236	6239	20087
237	6273	20084
238	6300	20060
239	6326	20034
240	6350	19999
241	6378	19979
242	6402	19944
243	6431	19925
244	6462	19915
245	6488	19887
246	6514	19860
247	6540	19833
248	6588	19870
249	6611	19834
250	6649	19842
251	6694	19871
252	6734	19882
253	6764	19866
254	6799	19864
255	6849	19907
256	6881	19895
257	6904	19856
258	6925	19815
259	6954	19794
260	6984	19777
261	7007	19738
262	7037	19722
263	7073	19720
264	7104	19705
265	7132	19681
266	7155	19644
267	7186	19629
268	7220	19620
269	7248	19598
270	7271	19560
271	7297	19532
272	7326	19510
273	7352	19481
274	7379	19456
275	7405	19425
276	7434	19405
277	7469	19398
278	7494	19368
279	7520	19339
280	7547	19311
281	7576	19291
282	7607	19272
283	7634	19247
284	7655	19205
285	7674	19158
286	7693	19112
287	7713	19070
288	7737	19035
289	7753	18981
290	7767	18925
291	7783	18873
292	7798	18817
293	7815	18766
294	7835	18725
295	7856	18686
296	7875	18640
297	7895	18598
298	7910	18547
299	7933	18511
300	7950	18464
301	8003	18497
302	8024	18459
303	8043	18416
304	8061	18369
305	8077	18318
306	8092	18268
307	8109	18219
308	8124	18168
309	8140	18118
310	8155	18068
311	8171	18019
312	8185	17966
313	8199	17913
314	8244	17927
315	8268	17897
316	8284	17849
317	8297	17795
318	8311	17743
319	8324	17690
320	8338	17638
321	8352	17586
322	8366	17535
323	8379	17482
324	8396	17438
325	8432	17433
326	8451	17393
327	8469	17351
328	8486	17308
329	8504	17265
330	8525	17230
331	8544	17191
332	8564	17154
333	8582	17114
334	8600	17071
335	8618	17031
336	8644	17005
337	8666	16974
338	8697	16958
339	8718	16923
340	8748	16906
341	8770	16873
342	8792	16840
343	8813	16807
344	8837	16777
345	8858	16743
346	8879	16708
347	8900	16675
348	8921	16641
349	8945	16612
350	8964	16576
351	8985	16541
352	9007	16510
353	9028	16476
354	9053	16450
355	9075	16417
356	9096	16383
357	9116	16348
358	9134	16310
359	9153	16272
360	9170	16233
361	9213	16238
362	9231	16199
363	9249	16162
364	9267	16122
365	9285	16084
366	9303	16047
367	9321	16008
368	9339	15970
369	9356	15932
370	9375	15894
371	9392	15856
372	9409	15817
373	9427	15779
374	9444	15740
375	9462	15703
376	9480	15666
377	9501	15633
378	9521	15601
379	9544	15572
380	9563	15537
381	9580	15499
382	9598	15462
383	9619	15430
384	9636	15393
385	9654	15356
386	9672	15320
387	9690	15284
388	9707	15247
389	9725	15211
390	9743	15176
391	9760	15139
392	9778	15103
393	9796	15067
394	9814	15031
395	9831	14995
396	9850	14961
397	9870	14929
398	9891	14899
399	9912	14868
400	9929	14833
401	9947	14797
402	9963	14760
403	9980	14724
404	9998	14689
405	10019	14658
406	10037	14625
407	10058	14594
408	10078	14562
409	10100	14534
410	10127	14513
411	10149	14485
412	10172	14457
413	10193	14427
414	10216	14401
415	10236	14371
416	10257	14340
417	10282	14316
418	10307	14292
419	10328	14263
420	10347	14230
421	10364	14196
422	10382	14162
423	10403	14132
424	10425	14105
425	10446	14075
426	10468	14047
427	10489	14018
428	10507	13985
429	10526	13953
430	10543	13919
431	10564	13890
432	10581	13856
433	10599	13823
434	10617	13790
435	10635	13757
436	10655	13728
437	10682	13706
438	10706	13682
439	10734	13662
440	10762	13642
441	10781	13611
442	10803	13584
443	10824	13555
444	10848	13529
445	10869	13501
446	10893	13477
447	10915	13449
448	10942	13428
449	10966	13404
450	10989	13377
451	11011	13350
452	11032	13322
453	11056	13297
454	11076	13267
455	11098	13239
456	11129	13223
457	11162	13209
458	11185	13184
459	11207	13156
460	11236	13137
461	11257	13109
462	11277	13080
463	11301	13054
464	11321	13025
465	11346	13001
466	11366	12972
467	11389	12947
468	11410	12919
469	11433	12893
470	11453	12864
471	11472	12833
472	11492	12804
473	11511	12774
474	11529	12742
475	11550	12714
476	11572	12688
477	11593	12660
478	11611	12629
479	11630	12599
480	11647	12568
481	11666	12538
482	11684	12507
483	11702	12476
484	11721	12446
485	11739	12415
486	11760	12388
487	11779	12358
488	11798	12329
489	11817	12299
490	11837	12271
491	11858	12243
492	11880	12218
493	11900	12189
494	11927	12168
495	11950	12143
496	11972	12117
497	11995	12091
498	12013	12061
499	12032	12032
500	12050	12002
501	12069	11973
502	12086	11942
503	12105	11912
504	12126	11885
505	12148	11860
506	12169	11833
507	12189	11805
508	12214	11782
509	12245	11764
510	12266	11738
511	12284	11708
512	12303	11679
513	12323	11652
514	12346	11627
515	12369	11602
516	12387	11572
517	12405	11543
518	12423	11513
519	12441	11484
520	12459	11455
521	12483	11431
522	12501	11401
523	12519	11372
524	12537	11343
525	12557	11316
526	12576	11287
527	12596	11260
528	12616	11233
529	12636	11205
530	12656	11178
531	12678	11153
532	12698	11125
533	12725	11104
534	12749	11081
535	12773	11057
536	12794	11031
537	12814	11004
538	12835	10977
539	12854	10950
540	12874	10923
541	12895	10896
542	12915	10870
543	12936	10843
544	12957	10817
545	12983	10795
546	13003	10769
547	13028	10746
548	13049	10720
549	13071	10695
550	13089	10666
551	13107	10637
552	13128	10612
553	13154	10590
554	13183	10570
555	13206	10545
556	13235	10526
557	13253	10498
558	13272	10471
559	13287	10439
560	13300	10407
561	13316	10377
562	13329	10346
563	13344	10315
564	13357	10284
565	13371	10253
566	13385	10222
567	13399	10190
568	13414	10160
569	13430	10131
570	13448	10104
571	13465	10075
572	13481	10046
573	13497	10017
574	13511	9986
575	13524	9955
576	13538	9925
577	13552	9894
578	13565	9863
579	13582	9835
580	13599	9807
581	13616	9779
582	13632	9751
583	13646	9720
584	13660	9690
585	13674	9661
586	13687	9630
587	13702	9601
588	13716	9571
589	13732	9542
590	13746	9513
591	13760	9483
592	13774	9453
593	13790	9425
594	13808	9399
595	13822	9369
596	13835	9339
597	13849	9310
598	13862	9280
599	13876	9250
600	13889	9221
601	13902	9191
602	13916	9162
603	13930	9133
604	13944	9103
605	13957	9074
606	13970	9045
607	13985	9016
608	14003	8990
609	14020	8963
610	14036	8936
611	14050	8907
612	14085	8892
613	14114	8873
614	14131	8846
615	14148	8819
616	14166	8793
617	14184	8767
618	14201	8741
619	14218	8714
620	14235	8688
621	14253	8661
622	14270	8635
623	14288	8609
624	14308	8585
625	14326	8559
626	14343	8533
627	14361	8506
628	14378	8481
629	14396	8455
630	14418	8431
631	14438	8407
632	14456	8381
633	14477	8357
634	14508	8339
635	14529	8315
636	14549	8290
637	14566	8264
638	14583	8239
639	14601	8213
640	14619	8187
641	14636	8161
642	14655	8136
643	14672	8111
644	14691	8085
645	14708	8060
646	14726	8034
647	14745	8009
648	14775	7990
649	14792	7965
650	14810	7939
651	14835	7918
652	14855	7894
653	14876	7870
654	14894	7845
655	14912	7819
656	14936	7797
657	14963	7777
658	14981	7752
659	14999	7726
660	15017	7701
661	15035	7676
662	15052	7651
663	15071	7626
664	15089	7601
665	15108	7576
666	15125	7551
667	15144	7527
668	15168	7504
669	15245	7508
670	15265	7484
671	15283	7459
672	15300	7434
673	15319	7409
674	15336	7384
675	15353	7358
676	15371	7333
677	15397	7312
678	15417	7288
679	15434	7263
680	15451	7238
681	15468	7212
682	15487	7188
683	15507	7164
684	15525	7139
685	15543	7114
686	15561	7089
687	15589	7069
688	15621	7051
689	15650	7031
690	15676	7010
691	15708	6991
692	15732	6969
693	15753	6946
694	15776	6923
695	15799	6900
696	15821	6877
697	15848	6857
698	15871	6834
699	15893	6811
700	15914	6787
701	15937	6765
702	15958	6741
703	15979	6718
704	16001	6695
705	16022	6672
706	16049	6651
707	16074	6629
708	16101	6608
709	16125	6586
710	16147	6563
711	16174	6542
712	16197	6519
713	16219	6497
714	16242	6474
715	16263	6451
716	16285	6427
717	16305	6404
718	16323	6379
719	16341	6355
720	16359	6330
721	16381	6307
722	16402	6284
723	16434	6265
724	16459	6243
725	16486	6222
726	16511	6200
727	16529	6175
728	16549	6152
729	16566	6127
730	16583	6102
731	16604	6079
732	16623	6055
733	16640	6030
734	16659	6006
735	16686	5985
736	16709	5962
737	16726	5938
738	16743	5913
739	16761	5889
740	16779	5864
741	16797	5840
742	16815	5816
743	16834	5792
744	16853	5768
745	16874	5745
746	16895	5722
747	16914	5698
748	16932	5674
749	16953	5651
750	16971	5627
751	16989	5603
752	17008	5579
753	17027	5555
754	17044	5531
755	17061	5506
756	17079	5482
757	17097	5458
758	17116	5434
759	17133	5410
760	17151	5386
761	17169	5362
762	17187	5338
763	17209	5316
764	17227	5292
765	17245	5268
766	17266	5245
767	17293	5224
768	17314	5201
769	17332	5177
770	17350	5153
771	17368	5129
772	17386	5105
773	17404	5081
774	17422	5058
775	17447	5036
776	17466	5012
777	17489	4990
778	17513	4968
779	17535	4945
780	17558	4923
781	17579	4900
782	17604	4878
783	17630	4857
784	17656	4835
785	17680	4813
786	17708	4792
787	17746	4774
788	17764	4750
789	17782	4726
790	17800	4703
791	17818	4679
792	17836	4655
793	17855	4632
794	17875	4609
795	17902	4587
796	17923	4565
797	17947	4543
798	17967	4520
799	17994	4498
800	18014	4475
801	18034	4452
802	18055	4429
803	18074	4406
804	18095	4383
805	18118	4361
806	18141	4338
807	18165	4316
808	18185	4293
809	18205	4270
810	18234	4249
811	18258	4227
812	18282	4205
813	18304	4182
814	18331	4161
815	18353	4138
816	18377	4116
817	18400	4093
818	18425	4071
819	18448	4049
820	18473	4027
821	18501	4006
822	18529	3985
823	18556	3963
824	18581	3941
825	18605	3919
826	18626	3896
827	18649	3873
828	18669	3851
829	18690	3828
830	18712	3805
831	18734	3782
832	18766	3762
833	18789	3739
834	18807	3716
835	18825	3693
836	18843	3669
837	18860	3646
838	18878	3622
839	18892	3598
840	18908	3574
841	18927	3551
842	18944	3528
843	18961	3504
844	18975	3480
845	19005	3459
846	19033	3438
847	19048	3414
848	19061	3390
849	19074	3366
850	19088	3342
851	19102	3318
852	19117	3294
853	19134	3271
854	19147	3247
855	19163	3223
856	19176	3199
857	19190	3176
858	19204	3152
859	19217	3128
860	19231	3104
861	19244	3080
862	19259	3057
863	19273	3033
864	19290	3010
865	19306	2987
866	19323	2964
867	19338	2940
868	19365	2919
869	19386	2896
870	19399	2873
871	19413	2849
872	19426	2826
873	19439	2802
874	19453	2779
875	19467	2755
876	19480	2732
877	19494	2708
878	19507	2685
879	19521	2661
880	19533	2638
881	19546	2615
882	19560	2591
883	19577	2568
884	19591	2545
885	19604	2522
886	19617	2499
887	19631	2476
